,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
550,PS 092 ADRIAN HEGEMAN,Elementary School, 74.12 ,C,40.14,0.408,0.494,0.349,0,Well-Developed,364,12.9,93.1
551,PS 138 BROOKLYN,K-8 School, 77.13 ,C,45.9,0.368,0.462,0.469,0.75,Well-Developed,682,14.5,74.3
552,PS 161 THE CROWN,K-8 School, 66.62 ,B,54.5,0.46,0.714,0.476,0,Well-Developed,"1,033",13.9,92.6
553,PS 181 BROOKLYN,K-8 School, 70.43 ,B,59.06,0.375,0.552,0.603,3.75,Proficient,173,12.3,96.5
554,PS 189 LINCOLN TERRACE,K-8 School, 75.23 ,A,94.01,0.694,0.82,0.909,9,Well-Developed,307,12.2,90.6
555,PS 191 PAUL ROBESON,Elementary School, 75.90 ,C,46.3,0.143,0.53,0.473,2.25,Well-Developed,524,14.9,87.8
556,PS 221 TOSSAINT L'OUVERTURE,Elementary School, 72.47 ,B,58.01,0.456,0.407,0.668,2.25,Proficient,394,12.3,80.5
557,PS 241 EMMA L JOHNSTON,Elementary School, 73.92 ,B,57.51,0.534,0.631,0.474,4.5,Well-Developed,537,11.9,65.9
558,PS 289 GEORGE V BROWER,Elementary School, 71.18 ,B,61.45,0.277,0.572,0.648,4.5,Proficient,390,12.5,92.6
559,PS 316 ELIJAH STROUD,Elementary School, 78.58 ,D,34.17,0.415,0.368,0.308,0,Proficient,195,11.4,87.7
560,PS 375 JACKIE-ROBINSON SCHOOL,Elementary School, 77.62 ,D,33.62,0.301,0.358,0.334,0,Undeveloped,294,9.5,96.9
561,PS 397 FOSTER-LAURIE,Elementary School, 71.36 ,C,47.65,0.613,0.394,0.484,0,Proficient,399,17.2,95
562,PS 398 WALTER WEAVER,Elementary School, 74.13 ,B,56.15,0.351,0.23,0.732,3.75,Proficient,262,11.9,95
563,PS 399 STANLEY EUGENE CLARK,Elementary School, 75.81 ,A,89.11,0.882,0.952,0.819,2.25,Well-Developed,423,11.4,91.3
564,"SCIENCE,TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH",High School, 3.18 ,B,60.5,0.431,0.701,0.6,0,Proficient,439,14.1,84.3
565,THE SCHOOL FOR HUMAN RIGHTS,Middle School, 2.98 ,F,28.7,0.334,0.176,0.335,0,Proficient,261,10.8,93.5
566,THE SCHOOL OF INTEGRATED LEARNING,Middle School, 2.66 ,B,58.59,0.495,0.435,0.638,3,Proficient,543,18.7,78.5
567,IS 068 ISAAC BILDERSEE,Middle School, 2.95 ,C,48.76,0.374,0.525,0.443,3,Proficient,521,15.3,83.9
568,IS 211 JOHN WILSON,Middle School, 2.89 ,A,78.64,0.557,0.772,0.707,8.25,Proficient,663,15.4,78.1
569,IS 285 MEYER LEVIN,Middle School, 3.20 ,C,50.24,0.481,0.44,0.488,3,Well-Developed,347,12.3,81.8
570,P.S. 66,K-8 School, 62.71 ,A,64.33,0.692,0.481,0.636,4.5,Well-Developed,518,14.3,77
571,PS 114 RYDER ELEMENTARY,Elementary School, 66.76 ,D,36.6,0.229,0.423,0.332,2.25,Proficient,967,16.1,62.2
572,PS 115 DANIEL MUCATEL SCHOOL,Elementary School, 67.04 ,A,70.59,0.676,0.75,0.608,4.5,Well-Developed,575,19.8,87.7
573,PS 135 SHELDON A. BROOKNER,Elementary School, 71.18 ,C,44.17,0.646,0.623,0.287,0,Proficient,383,10.3,83.3
574,PS 208 ELSA EBELING,Elementary School, 66.02 ,A,73.92,0.786,0.735,0.661,3.75,Well-Developed,533,13.6,78.8
575,PS 219 KENNEDY-KING,Elementary School, 71.00 ,A,67.89,0.367,0.587,0.732,4.5,Well-Developed,455,13.3,86.2
576,PS 233 LANGSTON HUGHES,Elementary School, 72.27 ,B,54.04,0.584,0.599,0.455,2.25,Proficient,491,10.0,81.9
577,PS 244 RICHARD R. GREEN,Elementary School, 66.18 ,B,62.52,0.685,0.612,0.561,3,Well-Developed,388,14.9,86.1
578,PS 268 EMMA LAZARUS,Elementary School, 72.17 ,C,46.96,0.471,0.546,0.427,0,Proficient,471,11.7,92.6
579,PS 272 CURTIS ESTABROOK,Elementary School, 72.31 ,F,20.15,0.237,0.142,0.197,1.5,Proficient,615,12.8,78.2
580,PS 276 LOUIS MARSHALL,Elementary School, 59.83 ,C,48.16,0.31,0.498,0.465,3,Proficient,408,12.5,80.1
581,PS 279 HERMAN SCHREIBER,Elementary School, 57.76 ,C,48.32,0.309,0.578,0.451,1.5,Proficient,806,16.4,71.3
582,EAST NEW YORK FAMILY ACADEMY,Middle School, 3.49 ,A,65.67,0.706,0.85,0.538,0,Well-Developed,501,12.0,87.6
583,I S 171 ABRAHAM LINCOLN,Middle School, 3.07 ,B,55.74,0.305,0.587,0.528,4.5,Well-Developed,446,12.9,98.2
584,I S 364 GATEWAY,Middle School, 3.14 ,B,55.53,0.619,0.677,0.417,3,Proficient,349,13.9,81.7
585,JHS 218 JAMES P SINNOTT,Middle School, 2.93 ,A,71.92,0.448,0.74,0.632,8.25,Proficient,406,12.3,93.1
586,JHS 292 MARGARET S DOUGLAS,Middle School, 3.00 ,B,51.45,0.357,0.62,0.418,4.5,Well-Developed,563,15.2,93.8
587,PS 007 ABRAHAM LINCOLN,Elementary School, 70.46 ,D,31.65,0.669,0.734,-0.021,0.75,Well-Developed,960,13.9,81.3
588,PS 013 ROBERTO CLEMENTE,Elementary School, 76.88 ,B,55.63,0.333,0.467,0.571,5.25,Well-Developed,493,12.6,93.9
589,PS 089 CYPRESS HILLS,K-8 School, 76.41 ,B,54.49,0.795,0.529,0.486,0,Proficient,675,16.0,95.7
590,PS 108 SAL ABBRACCIAMENTO,Elementary School, 73.42 ,C,46.9,0.63,0.755,0.242,1.5,Well-Developed,594,13.8,88.9
591,PS 149 DANNY KAYE,Elementary School, 79.42 ,A,73.52,0.556,0.871,0.642,3.75,Proficient,800,15.3,84.8
592,PS 158 WARWICK,Elementary School, 74.39 ,C,47.14,0.527,0.581,0.342,3,Proficient,187,17.0,96.8
593,PS 159 ISAAC PITKIN,Elementary School, 66.24 ,B,63.36,0.431,0.531,0.676,3.75,Proficient,439,11.8,94.8
594,PS 190 SHEFFIELD,Elementary School, 73.62 ,D,32.01,0.502,0.457,0.182,0.75,Proficient,295,21.0,93.6
595,PS 202 ERNEST S JENKYNS,K-8 School, 77.40 ,A,65.76,0.214,0.64,0.665,6.75,Proficient,914,14.2,81
596,PS 213 NEW LOTS,Elementary School, 73.67 ,B,51.38,0.522,0.502,0.491,1.5,Proficient,415,15.9,93.7
597,PS 214 MICHAEL FRIEDSAM,Elementary School, 59.97 ,C,39.02,0.345,0.314,0.431,0.75,Proficient,366,14.6,85.5
598,PS 224 HALE A WOODRUFF,Elementary School, 73.73 ,C,45.57,0.245,0.307,0.581,0.75,Proficient,522,11.6,95
599,PS 273 WORTMAN,Elementary School, 69.97 ,D,32.69,0.63,0.397,0.206,0,Proficient,327,11.6,95.4
600,PS 290 JUAN MOREL CAMPOS,Elementary School, 72.55 ,B,54.22,0.56,0.612,0.458,2.25,Well-Developed,284,11.3,97.5
601,PS 306 ETHAN ALLEN,K-8 School, 73.98 ,C,45.97,0.269,0.422,0.505,1.5,Proficient,536,12.1,84.9
602,PS 328 PHYLLIS WHEATLEY,K-8 School, 81.21 ,C,47.11,0.14,0.433,0.487,5.25,Proficient,582,12.5,84.9
603,PS 345 PATROLMAN ROBERT BOLDEN,Elementary School, 77.99 ,C,47.53,0.313,0.772,0.317,2.25,Proficient,611,17.9,82
604,PS 346 ABE STARK,Elementary School, 66.59 ,B,63.88,0.445,0.692,0.635,1.5,Proficient,877,13.4,91.8
605,PS 65,Elementary School, 48.59 ,C,44.63,0.759,0.514,0.31,0.75,Well-Developed,458,11.7,92.4
606,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,High School, 2.74 ,B,61.76,0.429,0.641,0.575,4.5,Well-Developed,705,12.3,76.9
607,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH,High School, 2.40 ,F,22.77,0.247,0.175,0.251,0,Proficient,408,10.2,88.7
608,FORT HAMILTON HIGH SCHOOL,High School, 2.78 ,B,56.63,0.491,0.341,0.683,1.5,Well-Developed,"4,580",20.3,72.1
609,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,High School, 2.64 ,A,67.63,0.353,0.336,0.95,0,Well-Developed,"3,039",16.4,81.7
610,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLO,High School, 2.89 ,A,69.82,0.656,0.627,0.585,9,Proficient,"1,273",15.5,75.8
611,I S 187,Middle School, 4.04 ,A,69.76,0.78,0.927,0.55,0,Well-Developed,874,16.8,66.1
612,IS 30 MARY WHITE OVINGTON,Middle School, 3.39 ,B,55.8,0.589,0.596,0.488,2.25,Proficient,"1,584",18.2,75.4
613,JHS 062 THE DITMAS,Middle School, 2.99 ,B,60.47,0.628,0.543,0.523,6,Well-Developed,"1,539",13.7,86.3
614,JHS 201 THE DYKER HEIGHTS,Middle School, 3.57 ,B,58.78,0.462,0.697,0.521,2.25,Well-Developed,942,13.6,97.3
615,JHS 220 JOHN J PERSHING,Middle School, 3.10 ,C,48.87,0.504,0.502,0.477,0,Proficient,"1,499",16.6,92
616,JHS 223 THE MONTAUK,Middle School, 2.94 ,A,67.29,0.602,0.599,0.624,6,Proficient,"1,858",18.7,80.4
617,JHS 227 EDWARD B SHALLOW,Middle School, 3.13 ,C,46.01,0.352,0.579,0.411,0.75,Undeveloped,"1,200",15.3,88.1
618,JHS 259 WILLIAM MCKINLEY,Middle School, 3.34 ,C,49.26,0.597,0.564,0.412,0.75,Well-Developed,"3,560",17.7,79.6
619,NEW UTRECHT HIGH SCHOOL,High School, 2.73 ,A,70.19,0.551,0.464,0.818,3,Well-Developed,"1,426",15.6,65.4
620,PS / IS 104 THE FORT HAMILTON SCHOOL,K-8 School, 32.31 ,C,48.79,0.454,0.571,0.397,3,Well-Developed,"1,514",17.1,88.2
621,PS 048 MAPELTON,Elementary School, 41.26 ,B,52.68,0.685,0.758,0.357,0,Well-Developed,684,12.2,70.3
622,PS 102 THE BAYVIEW,Elementary School, 40.33 ,B,58.67,0.687,0.578,0.523,2.25,Well-Developed,538,15.3,81.4
623,PS 105 THE BLYTHEBOURNE,Elementary School, 41.06 ,B,51.18,0.57,0.702,0.378,0.75,Well-Developed,"1,278",13.3,86.1
624,PS 112 LEFFERTS PARK,Elementary School, 37.90 ,B,56.32,0.638,0.728,0.453,0,Well-Developed,626,14.2,80.4
625,PS 127 MCKINLEY PARK,Elementary School, 38.39 ,A,64.75,0.607,0.657,0.613,2.25,Proficient,698,13.9,83.1
626,PS 160 William T. Sampson,Elementary School, 47.67 ,C,42.21,0.647,0.636,0.244,0,Well-Developed,"1,334",13.8,87
627,PS 163 BATH BEACH,Elementary School, 37.65 ,C,45.54,0.691,0.568,0.33,0,Well-Developed,885,13.4,86.1
628,PS 164 CAESAR RODNEY,Elementary School, 63.65 ,A,72.77,0.807,0.648,0.668,4.5,Well-Developed,650,15.4,39.7
629,PS 176 OVINGTON,Elementary School, 39.69 ,B,54.51,0.614,0.638,0.421,3,Well-Developed,"1,030",14.5,72.8
630,PS 179 KENSINGTON,Elementary School, 54.16 ,C,49.31,0.296,0.328,0.582,3,Proficient,675,11.6,85.3
631,PS 185 WALTER KASSENBROCK,Elementary School, 21.39 ,C,40.92,0.696,0.61,0.221,0,Well-Developed,"1,315",16.6,82.4
632,PS 186 DR. IRVING A GLADSTONE,Elementary School, 37.73 ,B,53.04,0.46,0.511,0.533,1.5,Well-Developed,"1,178",14.5,77.1
633,PS 192 BROOKLYN,Elementary School, 59.54 ,B,50.73,0.565,0.388,0.53,1.5,Well-Developed,"1,280",14.2,66.8
634,PS 200 BENSON SCHOOL,Elementary School, 35.13 ,B,59.97,0.514,0.674,0.487,5.25,Well-Developed,"1,249",17.1,60
635,PS 204 VINCE LOMBARDI,Elementary School, 31.65 ,B,54.73,0.707,0.63,0.432,1.5,Well-Developed,873,15.9,66.4
636,PS 205 CLARION,Elementary School, 43.20 ,C,40.28,0.415,0.544,0.295,1.5,Proficient,593,13.1,73.2
637,PS 229 DYKER,Elementary School, 22.72 ,B,55.66,0.763,0.813,0.361,0,Well-Developed,783,15.0,97.1
638,PS 247 BROOKLYN,Elementary School, 34.09 ,B,55.4,0.538,0.67,0.495,0,Well-Developed,"1,264",18.0,64.2
639,PS 69 Vincent D. Grippo School,Elementary School, 44.84 ,B,51.39,0.761,0.518,0.403,2.25,Well-Developed,924,14.4,80.1
640,ABRAHAM LINCOLN HIGH SCHOOL,High School, 2.69 ,C,44.25,0.301,0.373,0.491,1.5,Proficient,"1,946",16.6,78.6
641,BROOKLYN STUDIO SECONDARY SCHOOL,High School, 2.74 ,B,58.47,0.47,0.562,0.628,0,Well-Developed,929,15.7,76.3
642,EDWARD R. MURROW HIGH SCHOOL,High School, 3.06 ,B,49.1,0.587,0.357,0.547,0,Well-Developed,"3,781",18.9,70.6
643,IS 096 SETH LOW,Middle School, 3.24 ,C,40.85,0.489,0.414,0.315,3.75,Undeveloped,"1,309",14.5,80.1
644,IS 228 DAVID A BOODY,Middle School, 3.44 ,D,36.33,0.244,0.44,0.327,1.5,Proficient,"1,341",16.1,86.9
645,IS 281 JOSEPH B CAVALLARO,Middle School, 3.33 ,B,58.85,0.58,0.655,0.5,3,Well-Developed,536,17.2,77.6
646,IS 303 Herbert S. Eisenberg,Middle School, 3.32 ,A,65.43,0.55,0.785,0.516,5.25,Well-Developed,773,12.0,79.3
647,IS 98 BAY ACADEMY,Middle School, 3.81 ,A,66,0.412,0.802,0.596,3,Proficient,"1,532",21.8,55
648,JOHN DEWEY HIGH SCHOOL,High School, 2.85 ,B,56.26,0.434,0.492,0.636,0,Well-Developed,"2,294",17.7,83.3
649,Mark Twain I.S. 239 for the Gifted & Talented,Middle School, 3.94 ,B,55.65,0.657,0.862,0.348,0.75,Well-Developed,"1,323",19.6,38.2
650,P.S.  215  MORRIS H.  WEISS,Elementary School, 34.86 ,C,45.36,0.418,0.739,0.28,1.5,Well-Developed,793,17.6,50.8
651,P.S. 225   THE EILEEN E ZAGLIN,K-8 School, 44.96 ,D,37.28,0.237,0.365,0.414,0,Proficient,865,13.7,65.7
652,PS 095 THE GRAVESEND,K-8 School, 44.40 ,B,58.92,0.322,0.503,0.586,6.75,Proficient,334,6.4,64.7
653,PS 099 ISAAC ASIMOV,K-8 School, 49.24 ,B,56.22,0.333,0.361,0.639,5.25,Well-Developed,457,12.3,86.9
654,PS 100 THE CONEY ISLAND SCHOOL,Elementary School, 34.63 ,B,51.28,0.386,0.559,0.522,0,Well-Developed,558,12.9,78.1
655,PS 101 THE VERRAZANO,Elementary School, 34.23 ,C,41.86,0.618,0.558,0.288,0,Well-Developed,"1,024",14.2,76.3
656,PS 121 NELSON A ROCKEFELLER,K-8 School, 48.70 ,B,61.91,0.695,0.433,0.7,0,Proficient,438,15.6,90.2
657,PS 128 BENSONHURST,Elementary School, 37.48 ,B,51.05,0.458,0.463,0.551,0,Proficient,551,10.3,84.4
658,PS 153 HOMECREST,Elementary School, 42.05 ,C,39.9,0.36,0.63,0.283,0,Proficient,725,13.9,79.3
659,PS 177 THE MARLBORO,Elementary School, 43.20 ,C,39.38,0.437,0.62,0.245,0.75,Well-Developed,696,11.6,86.2
660,PS 188 MICHAEL E BERDY,Elementary School, 65.60 ,C,44.75,0.654,0.471,0.379,0,Well-Developed,924,17.1,73.8
661,PS 199 FREDERICK WACHTEL,Elementary School, 38.97 ,C,43.74,0.513,0.669,0.263,1.5,Well-Developed,752,17.8,75
662,PS 209 MARGARET MEAD,K-8 School, 37.22 ,C,48.94,0.392,0.553,0.482,0,Well-Developed,997,13.4,77.9
663,PS 212 LADY DEBORAH MOODY,Elementary School, 50.25 ,B,56.88,0.29,0.516,0.592,4.5,Well-Developed,"1,025",13.8,86
664,PS 216 ARTURO TOSCANINI,Elementary School, 38.60 ,C,44.79,0.315,0.581,0.412,0,Well-Developed,613,12.1,82.1
665,PS 226 ALFRED DE B.MASON,K-8 School, 44.24 ,B,61.82,0.42,0.523,0.628,5.25,Proficient,912,13.6,83.8
666,PS 238 Anne Sullivan,K-8 School, 57.70 ,F,22.4,0.367,0.506,0.031,0,Well-Developed,667,12.1,92.1
667,PS 253,Elementary School, 59.21 ,A,75.91,0.753,0.4,0.847,6,Well-Developed,420,13.5,95.2
668,PS 288 THE SHIRLEY TANYHILL,K-8 School, 75.42 ,C,48.93,0.39,0.369,0.555,1.5,Undeveloped,666,13.5,83.5
669,PS 329 SURFSIDE,Elementary School, 66.82 ,C,46.86,0.512,0.279,0.506,3,Proficient,941,14.6,74.3
670,PS 90 EDNA COHEN SCHOOL,Elementary School, 64.29 ,C,39.27,0.681,0.324,0.338,0.75,Well-Developed,773,13.1,66.9
671,PS 97 The Highlawn,Elementary School, 32.90 ,B,62.18,0.593,0.649,0.601,0.75,Well-Developed,874,14.8,74.1
672,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HI,High School, 2.48 ,C,43.12,0.357,0.391,0.474,0,Proficient,460,12.4,89.3
673,ANDRIES HUDDE,Middle School, 3.47 ,B,55.17,0.296,0.416,0.532,9,Undeveloped,753,15.4,84.7
674,BROOKLYN COLLEGE ACADEMY,High School, 3.14 ,B,66.76,0.681,0.687,0.653,0,Well-Developed,622,20.7,70.6
675,I. S. 381,Middle School, 3.45 ,D,35.19,0.471,0.364,0.299,0.75,Well-Developed,244,11.0,68.9
676,JAMES MADISON HIGH SCHOOL,High School, 2.93 ,B,50.09,0.457,0.437,0.548,0,Well-Developed,"3,655",19.0,76.9
677,JHS 014 SHELL BANK,Middle School, 3.09 ,C,42.91,0.547,0.466,0.322,3,Undeveloped,522,11.8,91.2
678,JHS 078 ROY H MANN,Middle School, 3.28 ,C,42.66,0.306,0.462,0.44,0,Undeveloped,"1,909",17.4,71.6
679,JHS 234 ARTHUR W CUNNINGHAM,Middle School, 3.64 ,B,52.21,0.477,0.607,0.42,3.75,Well-Developed,"1,107",13.1,71.2
680,JHS 278 MARINE PARK,Middle School, 3.34 ,C,40.19,0.466,0.401,0.358,1.5,Well-Developed,563,14.4,85.1
681,K134,Elementary School, 72.80 ,B,56.19,0.727,0.794,0.39,0,Well-Developed,"1,011",18.3,50.5
682,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,High School, 3.43 ,B,56.43,0.61,0.45,0.56,3,Proficient,"4,060",22.0,74.9
683,MIDWOOD HIGH SCHOOL,High School, 3.28 ,B,55.53,0.421,0.648,0.542,0,Well-Developed,685,14.5,87
684,P.S. 315 DIST 22.,Elementary School, 74.21 ,B,61.7,0.622,0.717,0.534,1.5,Well-Developed,445,14.3,71.7
685,PS 052 SHEEPSHEAD BAY,Elementary School, 44.27 ,B,51.73,0.501,0.517,0.508,0.75,Well-Developed,566,12.2,78.6
686,PS 109,K-8 School, 75.85 ,B,62.59,0.499,0.523,0.607,6,Well-Developed,995,15.3,80.4
687,PS 119 AMERSFORT,Elementary School, 62.45 ,B,53.65,0.76,0.694,0.362,1.5,Proficient,757,12.9,75.4
688,PS 139 ALEXINE A. FENTY,Elementary School, 64.09 ,B,54.86,0.539,0.467,0.527,3.75,Proficient,583,14.2,87.7
689,PS 193 GIL HODGES,Elementary School, 53.66 ,A,66.09,0.66,0.703,0.584,3,Undeveloped,479,17.1,31.5
690,PS 194 RAOUL WALLENBERG,Elementary School, 67.65 ,C,48.2,0.609,0.55,0.41,0,Well-Developed,656,12.8,62.5
691,PS 195 MANHATTAN BEACH,Elementary School, 11.93 ,B,51.3,0.509,0.733,0.394,0,Well-Developed,731,14.0,64.8
692,PS 197 BROOKLYN,Elementary School, 45.75 ,C,44.27,0.639,0.578,0.316,0,Well-Developed,"1,503",17.0,73.5
693,PS 203 FLOYD BENNETT,Elementary School, 68.18 ,A,71.05,0.649,0.676,0.651,5.25,Well-Developed,"1,230",14.4,51.2
694,PS 206 JOSEPH F LAMB,K-8 School, 34.46 ,B,53.35,0.687,0.797,0.335,0.75,Well-Developed,"1,175",15.4,76.5
695,PS 207 ELIZABETH G. LEARY,K-8 School, 33.95 ,B,51.97,0.769,0.791,0.304,0,Well-Developed,935,12.4,53.7
696,PS 217 COLONEL DAVID MARCUS SCHOOL,Elementary School, 51.71 ,B,52.2,0.552,0.51,0.466,3,Well-Developed,552,15.7,47.6
697,PS 222 KATHERINE R SNYDER,Elementary School, 32.31 ,B,58.28,0.63,0.78,0.462,0,Well-Developed,311,12.4,95.5
698,PS 236 MILL BASIN,Elementary School, 24.18 ,A,74.84,0.598,0.789,0.672,5.25,Well-Developed,521,13.0,74.1
699,PS 245,Elementary School, 61.94 ,D,36.51,0.511,0.551,0.224,0,Proficient,796,16.5,57.4
700,PS 251 PAEDERGAT,Elementary School, 68.66 ,C,40.97,0.396,0.581,0.279,2.25,Well-Developed,931,13.1,76.6
701,PS 254 DAG HAMMARSKJOLD,Elementary School, 36.90 ,B,50.88,0.403,0.821,0.367,0,Well-Developed,418,13.0,51.9
702,PS 255 BARBARA REING SCHOOL,Elementary School, 39.11 ,A,69.86,0.796,0.731,0.586,3.75,Well-Developed,791,15.2,56
703,PS 277 GERRITSEN BEACH,Elementary School, 22.77 ,C,42.29,0.651,0.845,0.131,0,Well-Developed,678,15.0,89.1
704,PS 312 BERGEN BEACH,Elementary School, 32.00 ,C,48.4,0.752,0.734,0.275,0,Well-Developed,817,13.8,76.3
705,SCHOOL OF SCIENCE & TECHNOLOGY,Elementary School, 65.32 ,B,51.49,0.668,0.548,0.455,0,Well-Developed,731,14.3,79.5
706,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,Middle School, 3.41 ,D,32.61,0.284,0.49,0.221,1.5,Proficient,266,12.2,95.1
707,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY & LAW,High School, 2.44 ,D,30.58,0.165,0.313,0.313,1.5,Undeveloped,488,12.4,89.3
708,IS 392,Middle School, 3.82 ,A,74.59,0.606,0.937,0.68,0,Proficient,292,12.6,75.3
709,KAPPA V,Middle School, 3.17 ,C,45.59,0.609,0.645,0.298,0.75,Proficient,229,20.7,85.2
710,MOTT HALL IV,Middle School, 3.41 ,C,42.66,0.646,0.509,0.309,0.75,Proficient,161,14.6,88.8
711,PS 041 FRANCIS WHITE,K-8 School, 75.65 ,C,38.59,0.22,0.404,0.394,1.5,Proficient,172,10.7,98.8
712,PS 137 RACHEL JEAN MITCHELL,K-8 School, 76.94 ,F,22.09,0.147,0.482,0.099,0,Undeveloped,706,13.3,91.5
713,PS 150 CHRISTOPHER,K-8 School, 80.51 ,D,30.08,0.106,0.324,0.341,0,Proficient,220,7.5,92.3
714,PS 155 NICHOLAS HERKIMER,K-8 School, 78.92 ,B,60.02,0.524,0.496,0.65,1.5,Proficient,376,12.9,88.6
715,PS 156 WAVERLY,Elementary School, 77.24 ,C,46.18,0.6,0.592,0.353,0,Proficient,550,14.4,91.3
716,PS 165 IDA POSNER,K-8 School, 73.42 ,D,32.14,0.219,0.507,0.248,0,Proficient,266,20.4,99.6
717,PS 178 ST.CLAIR MCKELWAY,K-8 School, 74.90 ,D,37.69,0.443,0.797,0.102,1.5,Proficient,328,12.6,97.6
718,PS 184 NEWPORT,K-8 School, 75.49 ,B,54.39,0.206,0.422,0.648,3,Undeveloped,461,11.8,98.3
719,PS 298 DR. BETTY SHABAZZ,K-8 School, 81.22 ,C,46.12,0.36,0.484,0.463,0.75,Proficient,304,11.2,92.8
720,PS 327 DR. ROSE B. ENGLISH,K-8 School, 76.33 ,B,52.69,0.504,0.587,0.377,6.75,Well-Developed,419,12.9,97.1
721,PS/IS 323,K-8 School, 77.75 ,D,31.63,0.447,0.573,0.1,2.25,Proficient,565,18.2,93.5
722,TEACHERS PREPARATORY HIGH SCHOOL,High School, 2.72 ,B,64.16,0.48,0.623,0.641,3,Well-Developed,242,10.5,89.7
723,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,High School, 2.97 ,A,68.23,0.587,0.599,0.645,6,Well-Developed,"2,087",17.3,63.3
724,GROVER CLEVELAND HIGH SCHOOL,High School, 2.60 ,C,43.12,0.288,0.376,0.5,0,Proficient,"1,751",16.8,72.3
725,HIGH SCHOOL FOR ARTS AND BUSINESS,High School, 2.52 ,A,70.11,0.487,0.835,0.686,0,Well-Developed,817,17.0,71.6
726,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,Middle School, 3.24 ,B,58.41,0.562,0.657,0.55,0,Well-Developed,525,18.1,68.8
727,I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,Middle School, 3.27 ,B,58.93,0.305,0.584,0.588,4.5,Undeveloped,"1,278",17.7,74.3
728,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY C,High School, 2.68 ,B,56.43,0.867,0.260,0.485,9,Well-Developed,"1,507",15.3,76.1
729,IS 061 LEONARDO DA VINCI,Middle School, 3.05 ,B,52.09,0.379,0.428,0.542,3.75,Well-Developed,"1,796",14.4,79
730,IS 077,Middle School, 3.14 ,B,61.57,0.546,0.628,0.506,6.75,Well-Developed,"2,225",14.0,96.3
731,IS 093 RIDGEWOOD,Middle School, 3.15 ,A,70.61,0.528,0.675,0.676,5.25,Well-Developed,"1,981",14.4,70.4
732,IS 119 THE GLENDALE,Middle School, 3.48 ,D,35.01,0.327,0.524,0.262,0,Proficient,"1,012",13.3,92.9
733,IS 125 THOM J MCCANN WOODSIDE,Middle School, 3.27 ,B,55.19,0.542,0.656,0.47,1.5,Proficient,"1,094",13.0,94.6
734,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY,High School, 2.73 ,C,35.2,0.686,0.204,0.26,4.5,Proficient,507,21.1,69.6
735,NEWTOWN HIGH SCHOOL,High School, 2.50 ,C,44.7,0.367,0.396,0.497,0,Proficient,"1,913",17.2,80.1
736,P.S. 239,Elementary School, 69.97 ,B,57.35,0.694,0.417,0.599,1.5,Proficient,"1,331",16.4,85.3
737,P.S.16Q,Elementary School, 71.05 ,B,57.35,0.68,0.815,0.413,0,Well-Developed,"1,217",15.7,89.1
738,PS 012 JAMES B COLGATE,Elementary School, 49.33 ,B,56.75,0.669,0.644,0.498,0,Well-Developed,970,15.6,36.2
739,PS 013 CLEMENT C MOORE,Elementary School, 53.42 ,A,67.27,0.528,0.584,0.679,4.5,Proficient,"1,605",16.8,72.9
740,PS 014 FAIRVIEW,Elementary School, 70.54 ,A,66.11,0.73,0.685,0.602,1.5,Proficient,"1,687",14.2,84.6
741,PS 019 MARINO JEANTET,Elementary School, 72.57 ,A,64.16,0.573,0.608,0.651,1.5,Proficient,"1,508",12.7,94.8
742,PS 049 DOROTHY BONAWIT KOLE,Elementary School, 28.63 ,B,59.94,0.649,0.714,0.523,0,Well-Developed,"1,211",16.5,70.9
743,PS 068 CAMBRIDGE,Elementary School, 65.60 ,B,50.88,0.606,0.702,0.349,1.5,Proficient,"1,573",15.5,85.4
744,PS 071 FOREST,Elementary School, 47.05 ,C,47.92,0.243,0.384,0.514,4.5,Proficient,"1,894",13.1,91.7
745,PS 081 JEAN PAUL RICHTER,Elementary School, 67.75 ,B,60.95,0.65,0.619,0.539,3,Proficient,875,15.0,68.6
746,PS 087 MIDDLE VILLAGE,K-8 School, 41.01 ,C,40.31,0.276,0.449,0.386,1.5,Proficient,"1,465",16.8,71.5
