,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
272,KAPPA,Middle School, 3.57 ,A,73.03,0.741,0.552,0.757,3.75,Proficient,317,13.7,92.7
273,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,High School, 2.34 ,B,63.64,0.576,0.785,0.408,9,Proficient,401,11.7,94.5
274,MOTT HALL III,Middle School, 3.55 ,A,74.76,0.465,0.758,0.764,3,Proficient,364,15.8,93.1
275,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,Middle School, 2.70 ,B,55.53,0.206,0.447,0.642,3.75,Undeveloped,247,13.7,86.6
276,P.S. 199X THE SHAKESPEARE SCHOOL,Elementary School, 82.30 ,B,63.99,0.485,0.553,0.634,5.25,Proficient,753,14.7,97.3
277,P/IS 218 R HERNANDEZ DUAL LANG,K-8 School, 76.24 ,A,84.28,0.654,0.752,0.794,8.25,Proficient,"1,012",14.4,87.1
278,PS 011 HIGHBRIDGE,Elementary School, 79.73 ,D,34.95,0.264,0.414,0.297,2.25,Proficient,595,11.8,93.3
279,PS 028 MOUNT HOPE,Elementary School, 80.24 ,B,53.76,0.469,0.389,0.569,3.75,Proficient,719,11.9,95.4
280,PS 035 FRANZ SIEGEL,Elementary School, 72.66 ,C,47.2,0.866,0.616,0.218,3.75,Proficient,665,13.5,91
281,PS 042 CLAREMONT,Elementary School, 78.15 ,B,51.99,0.69,0.395,0.446,5.25,Well-Developed,430,13.4,99.8
282,PS 053 BASHEER QUISIM,Elementary School, 76.21 ,B,53.43,0.228,0.482,0.605,2.25,Proficient,"1,142",12.9,91.3
283,PS 055 BENJAMIN FRANKLIN,Elementary School, 81.15 ,C,46.7,0.381,0.375,0.54,0,Proficient,637,12.7,97.6
284,PS 058,Elementary School, 82.85 ,B,55.89,0.227,0.45,0.654,3,Proficient,474,12.8,95.4
285,PS 063 AUTHOR'S ACADEMY,Elementary School, 80.38 ,B,60.03,0.485,0.659,0.572,1.5,Proficient,582,12.9,95.4
286,PS 070 MAX SCHOENFELD,Elementary School, 76.12 ,C,48.05,0.386,0.378,0.521,2.25,Proficient,"1,231",14.8,96.7
287,PS 073 BRONX,Elementary School, 76.03 ,B,49.91,0.09,0.16,0.727,3.75,Proficient,705,15.6,94
288,PS 109 SEDGWICK,Elementary School, 77.24 ,B,63.71,0.517,0.602,0.634,3,Proficient,663,13.5,92.9
289,PS 110 THEODORE SCHOENFELD,Elementary School, 80.24 ,D,32.74,0.216,0.229,0.411,0,Proficient,458,15.7,96.7
290,PS 114 LUIS LLORENS TORRES CHL,Elementary School, 79.52 ,B,54.39,0.25,0.387,0.696,0.75,Proficient,737,15.0,94.7
291,PS 126 DR MARJORIE H DUNBAR,Elementary School, 80.37 ,A,66.8,0.384,0.451,0.768,5.25,Proficient,571,12.4,96.8
292,PS 132 GARRET A MORGAN,Elementary School, 78.63 ,D,31.48,0.303,0.207,0.363,0.75,Undeveloped,371,12.7,94.3
293,PS 163 ARTHUR A SCHOMBURG,Elementary School, 80.35 ,D,37.92,0.304,0.322,0.39,2.25,Proficient,476,10.5,99.6
294,PS 204 MORRIS HEIGHTS,Elementary School, 79.04 ,B,61.6,0.716,1.021,0.354,0.75,Proficient,628,16.5,85.7
295,PSMS 004 CROTONA PARK WEST,K-8 School, 80.68 ,C,40.39,0.417,0.293,0.434,1.5,Proficient,577,12.2,93.1
296,SCHOOL FOR EXCELLENCE,High School, 2.42 ,A,78.56,0.658,0.644,0.679,12,Undeveloped,372,14.9,85.8
297,URBAN SCIENCE ACADEMY,Middle School, 2.79 ,A,75.01,0.45,0.557,0.788,8.25,Proficient,615,11.3,94.8
298,BELMONT PREPARATORY HIGH SCHOOL,High School, 2.34 ,C,48.22,0.347,0.491,0.46,3,Proficient,"2,997",22.3,45.6
299,BRONX DANCE ACADEMY SCHOOL,Middle School, 2.98 ,A,73.42,0.474,0.754,0.685,6,Proficient,400,13.7,88
300,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,High School, 2.40 ,D,31.91,0.433,0.387,0.251,0,Proficient,269,14.1,92.6
301,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,High School, 2.67 ,B,60.65,0.542,0.675,0.505,4.5,Well-Developed,414,13.9,90.8
302,BRONX HIGH SCHOOL OF BUSINESS,High School, 2.40 ,C,41.09,0.529,0.174,0.454,3,Proficient,432,14.8,84
303,BRONX HIGH SCHOOL OF SCIENCE,High School, 3.93 ,A,72.97,0.522,0.946,0.65,1,Well-Developed,288,10.2,88.2
304,BRONX SCHOOL OF LAW AND FINANCE,High School, 2.60 ,A,74.59,0.763,0.795,0.606,6,Proficient,373,14.9,86.3
305,BRONX THEATRE HIGH SCHOOL,High School, 2.65 ,B,61.04,0.521,0.756,0.446,6,Proficient,386,14.8,86
306,DEWITT CLINTON HIGH SCHOOL,High School, 2.72 ,C,47.72,0.31,0.497,0.512,0,Proficient,"1,228",13.9,88.7
307,DISCOVERY HIGH SCHOOL,High School, 2.40 ,B,53.44,0.548,0.528,0.452,4.5,Proficient,451,12.8,89.8
308,FORDHAM HIGH SCHOOL FOR THE ARTS,High School, 2.37 ,C,40.56,0.324,0.292,0.381,6,Proficient,336,11.5,84.5
309,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNO,High School, 2.38 ,C,40.87,0.277,0.423,0.437,0,Undeveloped,357,14.2,89.6
310,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,High School, 2.46 ,B,58.81,0.267,0.793,0.482,4.5,Undeveloped,424,14.1,90.3
311,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,High School, 3.81 ,A,78.27,0.694,0.724,0.784,3,Proficient,399,15.9,21.1
312,I.S. 254,Middle School, 2.71 ,A,69.26,0.558,0.733,0.639,3.75,Proficient,472,13.4,89.2
313,IN-TECH ACADEMY (MS/HS 368),High School, 2.75 ,C,47.45,0.606,0.599,0.344,1.5,Well-Developed,993,15.7,86.9
314,INTERNATIONAL SCHOOL OF LIBERAL ARTS,Middle School, 1.94 ,B,61.87,0.849,0.185,0.752,2.25,Proficient,516,12.5,99.2
315,IS 206 ANN MERSEREAU,Middle School, 3.03 ,D,38.64,0.51,0.498,0.251,2.25,Proficient,202,13.4,89.6
316,JHS 080 THE MOSHOLU PARKWAY,Middle School, 2.85 ,A,69.43,0.225,0.615,0.743,6.75,Undeveloped,690,16.0,90.7
317,JHS 118 WILLIAM W NILES,Middle School, 3.33 ,B,57.1,0.387,0.484,0.519,8.25,Proficient,"1,174",14.1,89.8
318,JONAS BRONCK ACADEMY,Middle School, 2.99 ,A,75.66,0.674,0.795,0.744,0.75,Proficient,268,13.4,90.7
319,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,High School, 2.64 ,A,98.13,0.752,1.081,0.826,9,Well-Developed,439,15.6,91.3
320,MS 390,Middle School, 2.86 ,A,70.77,0.413,0.678,0.668,7.5,Proficient,538,12.8,98.7
321,PS 008 ISSAC VARIAN,Elementary School, 68.13 ,B,53.69,0.371,0.445,0.55,4.5,Well-Developed,"1,005",13.2,87.1
322,PS 015 INST FOR ENVIRO. LRNG.,K-8 School, 75.86 ,A,74.69,0.745,0.785,0.631,5.25,Proficient,484,14.6,78.7
323,PS 024 SPUYTEN DUYVIL,Elementary School, 27.27 ,B,61.72,0.653,0.737,0.529,0.75,Well-Developed,907,17.1,26.9
324,PS 032 BELMONT,Elementary School, 78.84 ,A,73.4,0.667,0.765,0.558,9.75,Well-Developed,827,12.7,98.8
325,PS 033 TIMOTHY DWIGHT,Elementary School, 82.90 ,D,35.8,0.502,0.325,0.323,0.75,Proficient,922,12.7,91
326,PS 037 MULTIPLE INTELLIGENCE S,K-8 School, 67.75 ,A,83.88,0.595,0.511,0.989,5.25,Proficient,647,15.0,86.1
327,PS 046 EDGAR ALLAN POE,Elementary School, 78.32 ,A,65.86,0.646,0.472,0.696,3.75,Proficient,911,13.8,92
328,PS 051 BRONX NEW SCHOOL,Elementary School, 56.14 ,C,44.63,0.756,0.546,0.308,0,Proficient,219,13.6,89.5
329,PS 056 NORWOOD HEIGHTS,Elementary School, 63.65 ,B,56.58,0.597,0.453,0.592,1.5,Proficient,710,14.4,85.6
330,PS 059 THE COMM SCHOOL OF TEC,Elementary School, 80.66 ,B,57.24,0.578,0.52,0.558,2.25,Proficient,576,11.5,100
331,PS 079 CRESTON,Elementary School, 77.20 ,F,22.57,0.349,0.427,0.082,0,Proficient,459,11.4,92.2
332,PS 081 ROBERT J. CHRISTEN,Elementary School, 37.79 ,B,57.22,0.627,0.689,0.439,3,Well-Developed,725,14.4,47.9
333,PS 085 GREAT EXPECTATIONS,Elementary School, 80.36 ,B,51.73,0.445,0.412,0.54,3,Proficient,952,10.5,95.7
334,PS 086 KINGSBRIDGE HEIGHTS,Elementary School, 75.94 ,A,78.06,0.503,0.527,0.844,8.25,Well-Developed,"1,669",15.3,87.5
335,PS 091 BRONX,Elementary School, 76.99 ,B,52.71,0.384,0.625,0.512,0,Proficient,730,13.0,94.2
